관리번호,구분명,화장실명,소재지도로명주소,소재지지번주소,관리기관명,전화번호,개방시간,개방시간상세,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,위도,경도
,개방화장실,우림라이온스밸리C동,서울특별시 금천구 가산디지털1로 168,서울특별시 금천구 가산동 371-28,,,,,2,2,1,0,0,0,2,0,0,37.479135,126.883029
202530000000100921,공중화장실,누상동체육시설 공중화장실,서울특별시 종로구 옥인6길 26-17,서울특별시 종로구 누상동 산1-3,종로구청 청소행정과,0221482383,상시,,1,1,0,0,0,0,1,0,0,37.5804899186108,126.964039351399
202530000000100842,개방화장실,종로문화체육센터,서울특별시 종로구 인왕산로1길 21,서울특별시 종로구 사직동 284-1,종로구시설관리공단 건강사업부,027329393,정시,09:00~18:00,2,3,1,1,1,1,7,1,1,37.5742098160357,126.964661018954
202530000000100863,공중화장실,통인시장 고객만족센터,서울특별시 종로구 자하문로 15길 18,서울특별시 종로구 통인동 10-3,통인시장 상인회,027220911,정시,11:00~16:00,2,3,1,0,0,0,4,1,0,37.5807670044059,126.969947621917
202530000000100830,개방화장실,보건소,서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,종로보건소,0221483520,정시,평일9시간(09:00~18:00),7,7,0,0,0,0,10,0,0,37.5818305315454,126.969225799403
202530000000100953,개방화장실,"광장시장(합동,화창빌딩)",서울특별시 종로구 종로 194-7,서울특별시 종로구 종로4가 158,"광장시장(합동,화창빌딩)",,정시,07:00-18:00+일요일폐쇄,2,2,0,0,0,0,2,0,0,37.5704146164211,126.999366328779
202530000000100895,공중화장실,동대문역(4),서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 종로6가,서울교통공사,0261104211,정시,05~24,2,4,0,0,0,0,4,0,0,37.5706275062431,127.009440686645
202530000000100891,공중화장실,안국역(3),서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 안국동 1,서울교통공사,0261103281,정시,05~24,4,4,0,0,0,0,4,0,0,37.5764815692982,126.9847957512
202530000000100886,공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,서울교통공사,0261101271,정시,05~24,1,2,0,0,0,0,1,0,0,37.5735966798012,127.017139169849
202530000000100929,개방화장실,버거킹(종로점),서울특별시 종로구 종로 94,서울특별시 종로구 종로2가 56-23,버거킹(종로점),,정시,09:00-24:00,1,1,0,0,0,0,4,0,0,37.5699451391001,126.988087440713
202530000000100803,공중화장실,인왕산 청운지구(2)(청운공원 화장실),서울특별시 종로구 청운동 7-3,서울특별시 종로구 청운동 7-3,종로구청 도시녹지과,0221482832,상시,,2,3,1,0,0,0,5,1,1,37.5910302121594,126.96626847992
202530000000100960,개방화장실,허리우드극장(낙원상가4층),서울특별시 종로구 삼일대로 428,서울특별시 종로구 낙원동 284-6,허리우드극장(낙원상가4층),,정시,09:30-17:00,3,5,1,1,0,0,9,1,0,37.5727635233966,126.987902476529
